,[2. 2. 2. 1. 1. 1. 1.],[2. 2. 2. 2. 1. 1. 0.],[2. 2. 2. 2. 2. 0. 0.],[3. 2. 1. 1. 1. 1. 1.],[3. 2. 2. 1. 1. 1. 0.],[3. 2. 2. 2. 1. 0. 0.],[3. 3. 1. 1. 1. 1. 0.],[3. 3. 2. 1. 1. 0. 0.],[3. 3. 2. 2. 0. 0. 0.],[3. 3. 3. 1. 0. 0. 0.],[4. 1. 1. 1. 1. 1. 1.],[4. 2. 1. 1. 1. 1. 0.],[4. 2. 2. 1. 1. 0. 0.],[4. 2. 2. 2. 0. 0. 0.],[4. 3. 1. 1. 1. 0. 0.],[4. 3. 2. 1. 0. 0. 0.],[4. 3. 3. 0. 0. 0. 0.],[4. 4. 1. 1. 0. 0. 0.],[4. 4. 2. 0. 0. 0. 0.],[5. 1. 1. 1. 1. 1. 0.],[5. 2. 1. 1. 1. 0. 0.],[5. 2. 2. 1. 0. 0. 0.],[5. 3. 1. 1. 0. 0. 0.],[5. 3. 2. 0. 0. 0. 0.],[5. 4. 1. 0. 0. 0. 0.],[5. 5. 0. 0. 0. 0. 0.],[6. 1. 1. 1. 1. 0. 0.],[6. 2. 1. 1. 0. 0. 0.],[6. 2. 2. 0. 0. 0. 0.],[6. 3. 1. 0. 0. 0. 0.],[6. 4. 0. 0. 0. 0. 0.],[7. 1. 1. 1. 0. 0. 0.],[7. 2. 1. 0. 0. 0. 0.],[7. 3. 0. 0. 0. 0. 0.],[8. 1. 1. 0. 0. 0. 0.],[8. 2. 0. 0. 0. 0. 0.],[9. 1. 0. 0. 0. 0. 0.],[10.  0.  0.  0.  0.  0.  0.]
[4. 1. 1. 1. 1. 1. 1.],-1.0,-1.0,-1.0,-0.7142857142857143,-0.5714285714285714,-0.42857142857142855,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.5714285714285714,-0.0,-0.0,-0.0,-0.0,0.7142857142857143,0.5714285714285714,1.0,1.0,1.0,0.7142857142857143,0.5714285714285714,0.42857142857142855,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[4. 2. 1. 1. 1. 1. 0.],-0.8571428571428571,-0.7714285714285715,-0.7142857142857143,-0.47619047619047616,-0.40476190476190477,-0.3619047619047619,-0.0,0.009523809523809525,0.02857142857142857,0.35714285714285715,-0.0,-0.0,-0.0,-0.0,0.40476190476190477,0.38095238095238093,0.7142857142857143,0.8,0.7714285714285715,0.47619047619047616,0.40476190476190477,0.3619047619047619,0.719047619047619,0.6952380952380952,1.0,1.0,0.8666666666666667,0.8,0.7714285714285715,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[4. 2. 2. 1. 1. 0. 0.],-0.6,-0.5428571428571428,-0.5238095238095238,-0.2857142857142857,-0.2857142857142857,-0.2857142857142857,-0.08571428571428572,-0.08888888888888889,-0.0761904761904762,0.08571428571428572,-0.0,-0.0,-0.0,-0.0,0.18095238095238095,0.19047619047619047,0.37142857142857144,0.49523809523809526,0.5428571428571428,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.43333333333333335,0.45714285714285713,0.7619047619047619,1.0,0.6571428571428571,0.6428571428571429,0.6571428571428571,0.7619047619047619,1.0,0.9,0.8952380952380953,1.0,1.0,1.0,1.0,1.0
[4. 2. 2. 2. 0. 0. 0.],-0.2571428571428571,-0.2571428571428571,-0.2857142857142857,-0.14285714285714285,-0.17142857142857143,-0.2,-0.17142857142857143,-0.17142857142857143,-0.2,-0.17142857142857143,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.02857142857142857,0.2,0.2571428571428571,0.14285714285714285,0.17142857142857143,0.2,0.17142857142857143,0.18571428571428572,0.4142857142857143,0.7142857142857143,0.42857142857142855,0.4714285714285714,0.5714285714285714,0.45714285714285713,0.7857142857142857,0.6857142857142857,0.7571428571428571,0.7857142857142857,0.8857142857142857,1.0,1.0,1.0
[4. 3. 1. 1. 1. 0. 0.],-0.8857142857142857,-0.6571428571428571,-0.42857142857142855,-0.7857142857142857,-0.5,-0.2714285714285714,-0.34285714285714286,-0.09523809523809523,0.08571428571428572,0.3,-0.7142857142857143,-0.40476190476190477,-0.18095238095238095,-0.0,-0.0,0.18571428571428572,0.5714285714285714,0.3238095238095238,0.45714285714285713,-0.23809523809523808,-0.0,0.17142857142857143,0.3904761904761905,0.5,0.719047619047619,1.0,0.3142857142857143,0.45714285714285713,0.5428571428571428,0.8,1.0,0.7714285714285715,0.8,1.0,1.0,1.0,1.0,1.0
[4. 3. 2. 1. 0. 0. 0.],-0.7142857142857143,-0.45714285714285713,-0.23809523809523808,-0.6190476190476191,-0.40476190476190477,-0.20476190476190476,-0.3619047619047619,-0.19047619047619047,-0.0,-0.0,-0.5714285714285714,-0.38095238095238093,-0.19047619047619047,-0.0,-0.18571428571428572,-0.0,0.20952380952380953,-0.0,0.20952380952380953,-0.2857142857142857,-0.1,0.09047619047619047,0.09047619047619047,0.2857142857142857,0.3142857142857143,0.7142857142857143,0.08571428571428572,0.28095238095238095,0.4666666666666667,0.48095238095238096,0.7857142857142857,0.4714285714285714,0.6476190476190476,0.8571428571428571,0.8,0.9285714285714286,1.0,1.0
[4. 3. 3. 0. 0. 0. 0.],-1.0,-0.42857142857142855,0.14285714285714285,-1.0,-0.6190476190476191,-0.12380952380952381,-0.7714285714285715,-0.37142857142857144,0.12380952380952381,-0.14285714285714285,-1.0,-0.7142857142857143,-0.37142857142857144,0.02857142857142857,-0.5714285714285714,-0.20952380952380953,-0.0,-0.4666666666666667,-0.10476190476190476,-0.7142857142857143,-0.42857142857142855,-0.08571428571428572,-0.29523809523809524,0.10476190476190476,-0.20952380952380953,0.14285714285714285,-0.42857142857142855,-0.08571428571428572,0.3142857142857143,0.10476190476190476,0.2857142857142857,-0.08571428571428572,0.3142857142857143,0.6190476190476191,0.3142857142857143,0.7142857142857143,0.7142857142857143,1.0
[4. 4. 1. 1. 0. 0. 0.],-1.0,-0.8761904761904762,-0.6190476190476191,-1.0,-0.7714285714285715,-0.4666666666666667,-0.638095238095238,-0.2857142857142857,-0.0,0.2,-1.0,-0.8,-0.49523809523809526,-0.2,-0.3238095238095238,-0.0,0.4666666666666667,-0.0,0.3142857142857143,-0.7142857142857143,-0.45714285714285713,-0.18095238095238095,-0.0,0.2571428571428571,0.34285714285714286,0.7142857142857143,-0.3142857142857143,-0.0,0.2571428571428571,0.4666666666666667,0.8571428571428571,0.2,0.4666666666666667,0.8571428571428571,0.6952380952380952,0.8571428571428571,1.0,1.0
[4. 4. 2. 0. 0. 0. 0.],-1.0,-0.8095238095238095,-0.5238095238095238,-1.0,-0.7142857142857143,-0.44761904761904764,-0.6190476190476191,-0.37142857142857144,-0.08571428571428572,-0.08571428571428572,-1.0,-0.7714285714285715,-0.5428571428571428,-0.2571428571428571,-0.45714285714285713,-0.20952380952380953,0.10476190476190476,-0.3142857142857143,-0.0,-0.7142857142857143,-0.5142857142857142,-0.29523809523809524,-0.2571428571428571,-0.0,-0.10476190476190476,0.14285714285714285,-0.42857142857142855,-0.19047619047619047,0.10476190476190476,0.10476190476190476,0.42857142857142855,-0.08571428571428572,0.20952380952380953,0.5238095238095238,0.3142857142857143,0.6666666666666666,0.7142857142857143,1.0
[5. 1. 1. 1. 1. 1. 0.],-1.0,-1.0,-1.0,-0.9523809523809523,-0.8571428571428571,-0.7142857142857143,-0.47619047619047616,-0.2857142857142857,-0.14285714285714285,0.2857142857142857,-0.7142857142857143,-0.47619047619047616,-0.2857142857142857,-0.14285714285714285,0.23809523809523808,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.7142857142857143,-0.0,0.11904761904761904,0.19047619047619047,0.7142857142857143,0.7142857142857143,1.0,1.0,0.6190476190476191,0.5952380952380952,0.6190476190476191,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[5. 2. 1. 1. 1. 0. 0.],-0.9714285714285714,-0.9142857142857143,-0.8571428571428571,-0.8571428571428571,-0.7261904761904762,-0.6285714285714286,-0.4666666666666667,-0.37142857142857144,-0.2571428571428571,-0.0,-0.5714285714285714,-0.40476190476190477,-0.2857142857142857,-0.17142857142857143,-0.0,0.1,0.42857142857142855,0.45714285714285713,0.5142857142857142,-0.11904761904761904,-0.0,0.1,0.3904761904761905,0.4714285714285714,0.8,1.0,0.3142857142857143,0.3904761904761905,0.45714285714285713,0.719047619047619,1.0,0.7714285714285715,0.8,1.0,1.0,1.0,1.0,1.0
[5. 2. 2. 1. 0. 0. 0.],-0.8857142857142857,-0.8,-0.7619047619047619,-0.7142857142857143,-0.6285714285714286,-0.580952380952381,-0.4857142857142857,-0.43333333333333335,-0.38095238095238093,-0.2714285714285714,-0.42857142857142855,-0.3619047619047619,-0.2857142857142857,-0.2,-0.17142857142857143,-0.09047619047619047,0.08571428571428572,0.18095238095238095,0.29523809523809524,-0.19047619047619047,-0.1,-0.0,0.09047619047619047,0.20952380952380953,0.48095238095238096,0.8571428571428571,0.08571428571428572,0.19047619047619047,0.3142857142857143,0.36666666666666664,0.7857142857142857,0.4714285714285714,0.5952380952380952,0.7857142857142857,0.8,0.9285714285714286,1.0,1.0
[5. 3. 1. 1. 0. 0. 0.],-1.0,-0.8761904761904762,-0.6190476190476191,-1.0,-0.8214285714285714,-0.5523809523809524,-0.8,-0.49523809523809526,-0.2,-0.1,-1.0,-0.719047619047619,-0.43333333333333335,-0.17142857142857143,-0.3904761904761905,-0.09047619047619047,0.29523809523809524,-0.0,0.2571428571428571,-0.7142857142857143,-0.3904761904761905,-0.09047619047619047,-0.0,0.2857142857142857,0.40476190476190477,0.8571428571428571,-0.3142857142857143,-0.0,0.2571428571428571,0.40476190476190477,0.7857142857142857,0.2,0.4666666666666667,0.8571428571428571,0.6952380952380952,0.8571428571428571,1.0,1.0
[5. 3. 2. 0. 0. 0. 0.],-1.0,-0.8095238095238095,-0.5238095238095238,-1.0,-0.7714285714285715,-0.5523809523809524,-0.7714285714285715,-0.5714285714285714,-0.34285714285714286,-0.4,-1.0,-0.6952380952380952,-0.45714285714285713,-0.18571428571428572,-0.5,-0.2857142857142857,-0.10476190476190476,-0.2571428571428571,-0.0,-0.7142857142857143,-0.4714285714285714,-0.20952380952380953,-0.2857142857142857,-0.0,-0.0,0.42857142857142855,-0.42857142857142855,-0.19047619047619047,0.10476190476190476,-0.0,0.3333333333333333,-0.08571428571428572,0.20952380952380953,0.47619047619047616,0.3142857142857143,0.6666666666666666,0.7142857142857143,1.0
[5. 4. 1. 0. 0. 0. 0.],-1.0,-1.0,-0.8095238095238095,-1.0,-1.0,-0.7523809523809524,-1.0,-0.6952380952380952,-0.3142857142857143,-0.2,-1.0,-1.0,-0.7619047619047619,-0.4142857142857143,-0.719047619047619,-0.3142857142857143,0.20952380952380953,-0.34285714285714286,0.10476190476190476,-1.0,-0.8,-0.48095238095238096,-0.40476190476190477,-0.0,-0.0,0.42857142857142855,-0.7714285714285715,-0.4666666666666667,-0.10476190476190476,-0.0,0.47619047619047616,-0.4,-0.0,0.5238095238095238,0.10476190476190476,0.5238095238095238,0.6666666666666666,1.0
[5. 5. 0. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7142857142857143,-0.7142857142857143,-1.0,-1.0,-1.0,-0.7142857142857143,-1.0,-0.7142857142857143,-0.14285714285714285,-0.7142857142857143,-0.14285714285714285,-1.0,-1.0,-0.8571428571428571,-0.8571428571428571,-0.42857142857142855,-0.42857142857142855,-0.0,-1.0,-0.8571428571428571,-0.5238095238095238,-0.5238095238095238,-0.0,-0.8571428571428571,-0.5238095238095238,-0.0,-0.5238095238095238,-0.0,-0.0,0.7142857142857143
[6. 1. 1. 1. 1. 0. 0.],-1.0,-1.0,-1.0,-1.0,-0.9714285714285714,-0.8857142857142857,-0.8666666666666667,-0.6571428571428571,-0.42857142857142855,-0.08571428571428572,-1.0,-0.8666666666666667,-0.6571428571428571,-0.42857142857142855,-0.3142857142857143,-0.08571428571428572,0.42857142857142855,0.3142857142857143,0.42857142857142855,-0.6190476190476191,-0.3142857142857143,-0.08571428571428572,0.3142857142857143,0.42857142857142855,0.7714285714285715,1.0,-0.0,0.21904761904761905,0.37142857142857144,0.7714285714285715,1.0,0.5714285714285714,0.6761904761904762,1.0,1.0,1.0,1.0,1.0
[6. 2. 1. 1. 0. 0. 0.],-1.0,-0.9809523809523809,-0.9523809523809523,-1.0,-0.9214285714285714,-0.8333333333333334,-0.8,-0.6857142857142857,-0.5428571428571428,-0.37142857142857144,-1.0,-0.8,-0.6428571428571429,-0.4714285714285714,-0.45714285714285713,-0.28095238095238095,0.08571428571428572,-0.0,0.19047619047619047,-0.5952380952380952,-0.3904761904761905,-0.19047619047619047,-0.0,0.19047619047619047,0.4666666666666667,0.8571428571428571,-0.21904761904761905,-0.0,0.20952380952380953,0.40476190476190477,0.8571428571428571,0.2,0.40476190476190477,0.7857142857142857,0.6952380952380952,0.8571428571428571,1.0,1.0
[6. 2. 2. 0. 0. 0. 0.],-1.0,-0.9619047619047619,-1.0,-1.0,-0.8857142857142857,-0.8380952380952381,-0.7714285714285715,-0.7142857142857143,-0.6952380952380952,-0.6,-1.0,-0.7714285714285715,-0.6571428571428571,-0.5714285714285714,-0.5428571428571428,-0.4666666666666667,-0.3142857142857143,-0.2571428571428571,-0.10476190476190476,-0.6190476190476191,-0.45714285714285713,-0.3142857142857143,-0.2571428571428571,-0.10476190476190476,0.10476190476190476,0.5238095238095238,-0.37142857142857144,-0.20952380952380953,-0.0,-0.0,0.47619047619047616,-0.08571428571428572,0.10476190476190476,0.3333333333333333,0.3142857142857143,0.6190476190476191,0.7142857142857143,1.0
[6. 3. 1. 0. 0. 0. 0.],-1.0,-1.0,-0.8095238095238095,-1.0,-1.0,-0.8047619047619048,-1.0,-0.8285714285714286,-0.5142857142857142,-0.5428571428571428,-1.0,-1.0,-0.7619047619047619,-0.45714285714285713,-0.8,-0.48095238095238096,-0.10476190476190476,-0.4666666666666667,-0.10476190476190476,-1.0,-0.719047619047619,-0.36666666666666664,-0.40476190476190477,-0.0,-0.0,0.5238095238095238,-0.7714285714285715,-0.40476190476190477,-0.0,-0.0,0.47619047619047616,-0.4,-0.0,0.47619047619047616,0.10476190476190476,0.5238095238095238,0.6666666666666666,1.0
[6. 4. 0. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7142857142857143,-0.7142857142857143,-1.0,-1.0,-1.0,-0.7857142857142857,-1.0,-0.7857142857142857,-0.2857142857142857,-0.8571428571428571,-0.42857142857142855,-1.0,-1.0,-0.7857142857142857,-0.7857142857142857,-0.3333333333333333,-0.47619047619047616,-0.0,-1.0,-0.8571428571428571,-0.47619047619047616,-0.47619047619047616,-0.0,-0.8571428571428571,-0.5238095238095238,-0.0,-0.5238095238095238,-0.0,-0.0,0.7142857142857143
[7. 1. 1. 1. 0. 0. 0.],-1.0,-1.0,-1.0,-1.0,-1.0,-0.9714285714285714,-1.0,-0.9,-0.6857142857142857,-0.4714285714285714,-1.0,-1.0,-0.9,-0.6857142857142857,-0.7714285714285715,-0.4714285714285714,0.08571428571428572,-0.2,0.08571428571428572,-1.0,-0.7714285714285715,-0.4714285714285714,-0.2,0.08571428571428572,0.4,0.8571428571428571,-0.5714285714285714,-0.2,0.08571428571428572,0.4,0.8571428571428571,-0.0,0.32857142857142857,0.8571428571428571,0.5714285714285714,0.7857142857142857,1.0,1.0
[7. 2. 1. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-1.0,-1.0,-0.9619047619047619,-1.0,-0.8952380952380953,-0.8,-0.7,-1.0,-1.0,-0.8952380952380953,-0.7571428571428571,-0.8,-0.6476190476190476,-0.3142857142857143,-0.4666666666666667,-0.20952380952380953,-1.0,-0.8,-0.5952380952380952,-0.4666666666666667,-0.20952380952380953,-0.0,0.5238095238095238,-0.6761904761904762,-0.40476190476190477,-0.10476190476190476,-0.0,0.5238095238095238,-0.32857142857142857,-0.0,0.47619047619047616,0.10476190476190476,0.47619047619047616,0.6666666666666666,1.0
[7. 3. 0. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.8571428571428571,-0.9285714285714286,-1.0,-1.0,-1.0,-0.7857142857142857,-1.0,-0.8571428571428571,-0.6190476190476191,-0.8571428571428571,-0.5238095238095238,-1.0,-1.0,-0.7857142857142857,-0.8571428571428571,-0.47619047619047616,-0.5238095238095238,-0.0,-1.0,-0.7857142857142857,-0.3333333333333333,-0.47619047619047616,-0.0,-0.8571428571428571,-0.47619047619047616,-0.0,-0.5238095238095238,-0.0,-0.0,0.7142857142857143
[8. 1. 1. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.8857142857142857,-0.8,-1.0,-1.0,-1.0,-0.8857142857142857,-1.0,-0.8,-0.3142857142857143,-0.6952380952380952,-0.3142857142857143,-1.0,-1.0,-0.8,-0.6952380952380952,-0.3142857142857143,-0.10476190476190476,0.5238095238095238,-1.0,-0.6952380952380952,-0.3142857142857143,-0.10476190476190476,0.5238095238095238,-0.5714285714285714,-0.10476190476190476,0.5238095238095238,-0.0,0.47619047619047616,0.6190476190476191,1.0
[8. 2. 0. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9285714285714286,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9285714285714286,-0.7142857142857143,-0.8571428571428571,-0.6666666666666666,-1.0,-1.0,-0.9285714285714286,-0.8571428571428571,-0.6666666666666666,-0.5238095238095238,-0.0,-1.0,-0.8571428571428571,-0.6190476190476191,-0.5238095238095238,-0.0,-0.7857142857142857,-0.47619047619047616,-0.0,-0.47619047619047616,-0.0,-0.0,0.7142857142857143
[9. 1. 0. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7142857142857143,-1.0,-0.7142857142857143,-1.0,-1.0,-1.0,-1.0,-0.7142857142857143,-0.6666666666666666,-0.0,-1.0,-1.0,-0.7142857142857143,-0.6666666666666666,-0.0,-1.0,-0.6666666666666666,-0.0,-0.6190476190476191,-0.0,-0.0,0.7142857142857143
[10.  0.  0.  0.  0.  0.  0.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7142857142857143,-1.0,-1.0,-1.0,-1.0,-0.7142857142857143,-1.0,-1.0,-0.7142857142857143,-1.0,-0.7142857142857143,-0.7142857142857143,-0.0
