,[3. 3. 3. 3. 2.],[4. 3. 3. 2. 2.],[4. 3. 3. 3. 1.],[4. 4. 2. 2. 2.],[4. 4. 3. 2. 1.],[4. 4. 3. 3. 0.],[4. 4. 4. 1. 1.],[4. 4. 4. 2. 0.],[5. 3. 2. 2. 2.],[5. 3. 3. 2. 1.],[5. 3. 3. 3. 0.],[5. 4. 2. 2. 1.],[5. 4. 3. 1. 1.],[5. 4. 3. 2. 0.],[5. 4. 4. 1. 0.],[5. 5. 2. 1. 1.],[5. 5. 2. 2. 0.],[5. 5. 3. 1. 0.],[5. 5. 4. 0. 0.],[6. 2. 2. 2. 2.],[6. 3. 2. 2. 1.],[6. 3. 3. 1. 1.],[6. 3. 3. 2. 0.],[6. 4. 2. 1. 1.],[6. 4. 2. 2. 0.],[6. 4. 3. 1. 0.],[6. 4. 4. 0. 0.],[6. 5. 1. 1. 1.],[6. 5. 2. 1. 0.],[6. 5. 3. 0. 0.],[6. 6. 1. 1. 0.],[6. 6. 2. 0. 0.],[7. 2. 2. 2. 1.],[7. 3. 2. 1. 1.],[7. 3. 2. 2. 0.],[7. 3. 3. 1. 0.],[7. 4. 1. 1. 1.],[7. 4. 2. 1. 0.],[7. 4. 3. 0. 0.],[7. 5. 1. 1. 0.],[7. 5. 2. 0. 0.],[7. 6. 1. 0. 0.],[7. 7. 0. 0. 0.],[8. 2. 2. 1. 1.],[8. 2. 2. 2. 0.],[8. 3. 1. 1. 1.],[8. 3. 2. 1. 0.],[8. 3. 3. 0. 0.],[8. 4. 1. 1. 0.],[8. 4. 2. 0. 0.],[8. 5. 1. 0. 0.],[8. 6. 0. 0. 0.],[9. 2. 1. 1. 1.],[9. 2. 2. 1. 0.],[9. 3. 1. 1. 0.],[9. 3. 2. 0. 0.],[9. 4. 1. 0. 0.],[9. 5. 0. 0. 0.],[10.  1.  1.  1.  1.],[10.  2.  1.  1.  0.],[10.  2.  2.  0.  0.],[10.  3.  1.  0.  0.],[10.  4.  0.  0.  0.],[11.  1.  1.  1.  0.],[11.  2.  1.  0.  0.],[11.  3.  0.  0.  0.],[12.  1.  1.  0.  0.],[12.  2.  0.  0.  0.],[13.  1.  0.  0.  0.],[14.  0.  0.  0.  0.]
[6. 6. 2. 0. 0.],-0.8,-0.6,-0.6,-0.4,-0.4,-0.2,-0.2,0.0,-0.4,-0.4,-0.2,-0.2,-0.2,0.0,0.1,0.0,0.2,0.1,0.4,-0.6,-0.5,-0.4,-0.3333333333333333,-0.3,-0.16666666666666666,-0.16666666666666666,0.13333333333333333,-0.1,0.0,0.13333333333333333,-0.13333333333333333,0.0,-0.5,-0.5,-0.4,-0.36666666666666664,-0.4,-0.26666666666666666,-0.13333333333333333,-0.13333333333333333,-0.0,-0.13333333333333333,-0.2,-0.4,-0.3,-0.4,-0.26666666666666666,-0.13333333333333333,-0.13333333333333333,-0.0,0.13333333333333333,0.2,-0.3,-0.16666666666666666,-0.13333333333333333,-0.0,0.13333333333333333,0.4,-0.2,-0.03333333333333333,0.13333333333333333,0.13333333333333333,0.4,0.1,0.26666666666666666,0.4,0.4,0.6,0.7,1.0
[7. 2. 2. 2. 1.],-1.0,-1.0,-1.0,-0.9,-0.7,-1.0,-0.1,-0.55,-0.9,-0.7,-1.0,-0.3,-0.1,-0.55,0.05,0.3,-0.1,0.05,0.2,-0.6,-0.3,-0.1,-0.55,0.3,-0.1,0.05,0.2,0.7,0.4,0.2,0.8,0.5,0.0,0.15,-0.3,-0.15,0.7,0.3,-0.0,0.8,0.45,0.9,1.0,0.5,-0.0,0.55,0.1,-0.2,0.7,0.25,0.85,1.0,1.0,0.6,0.7,0.25,0.85,1.0,1.0,1.0,0.7,0.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[7. 3. 2. 1. 1.],-1.0,-0.9,-0.85,-0.7,-0.6666666666666666,-0.7,-0.4,-0.55,-0.7,-0.5833333333333334,-0.55,-0.4,-0.26666666666666666,-0.4,-0.1,0.0,-0.13333333333333333,0.03333333333333333,0.2,-0.4,-0.2833333333333333,-0.13333333333333333,-0.25,0.0,-0.13333333333333333,0.03333333333333333,0.2,0.4,0.26666666666666666,0.3,0.6,0.5,-0.15,0.0,-0.13333333333333333,-0.0,0.3,0.13333333333333333,0.15,0.5666666666666667,0.4,0.8,1.0,0.13333333333333333,-0.0,0.3,0.13333333333333333,0.1,0.4,0.25,0.7,1.0,0.6,0.4,0.5666666666666667,0.4,0.7,1.0,1.0,0.7666666666666667,0.6,0.8,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0
[7. 3. 2. 2. 0.],-1.0,-0.7333333333333333,-0.7,-0.4,-0.5,-0.8,-0.4,-0.55,-0.3,-0.4,-0.7,-0.13333333333333333,-0.26666666666666666,-0.4166666666666667,-0.25,0.13333333333333333,0.0,-0.11666666666666667,-0.1,0.2,0.0,-0.13333333333333333,-0.2833333333333333,0.13333333333333333,0.0,-0.11666666666666667,-0.1,0.4,0.26666666666666666,0.03333333333333333,0.5,0.4,0.3,0.13333333333333333,0.0,-0.13333333333333333,0.25,0.13333333333333333,-0.15,0.4,0.2833333333333333,0.55,0.7,0.4,0.3,0.25,0.13333333333333333,-0.16666666666666666,0.25,0.1,0.4,0.55,0.7,0.5666666666666667,0.4,0.2833333333333333,0.4,0.55,1.0,0.8,0.7333333333333333,0.55,0.55,1.0,0.9,0.7,1.0,1.0,1.0,1.0
[7. 3. 3. 1. 0.],-0.6,-0.4,-0.6,-0.4,-0.5,-0.5666666666666667,-0.6,-0.5,-0.1,-0.26666666666666666,-0.3,-0.26666666666666666,-0.4,-0.26666666666666666,-0.4,-0.13333333333333333,0.0,-0.13333333333333333,-0.1,0.2,0.03333333333333333,-0.13333333333333333,0.0,-0.13333333333333333,0.0,-0.13333333333333333,-0.1,0.0,0.13333333333333333,0.16666666666666666,0.26666666666666666,0.36666666666666664,0.15,0.0,0.13333333333333333,0.0,-0.15,-0.0,-0.0,0.13333333333333333,0.26666666666666666,0.4166666666666667,0.7,0.1,0.25,-0.05,0.13333333333333333,0.13333333333333333,-0.016666666666666666,0.13333333333333333,0.25,0.55,0.25,0.4,0.2833333333333333,0.4,0.25,0.55,0.4,0.55,0.6,0.5833333333333334,0.55,0.7,0.75,0.85,0.9,0.85,1.0,1.0
[7. 4. 1. 1. 1.],-1.0,-1.0,-0.55,-1.0,-0.7,-0.1,-0.4,-0.25,-1.0,-0.55,-0.1,-0.7,-0.3,-0.25,0.05,-0.4,-0.4,0.0,0.3,-1.0,-0.55,-0.1,-0.1,-0.3,-0.25,0.15,0.4,0.0,0.0,0.4,0.4,0.4,-0.7,-0.3,-0.25,0.15,0.0,-0.0,0.4,0.3,0.25,0.7,1.0,-0.4,-0.4,-0.0,-0.0,0.4,0.3,0.25,0.55,1.0,-0.0,-0.0,0.4,0.4,0.7,1.0,0.6,0.4,0.4,0.7,1.0,0.9,0.7,1.0,1.0,1.0,1.0,1.0
[7. 4. 2. 1. 0.],-0.8,-0.7,-0.5,-0.7,-0.4666666666666667,-0.3,-0.3,-0.3,-0.55,-0.4,-0.25,-0.4166666666666667,-0.26666666666666666,-0.26666666666666666,-0.13333333333333333,-0.26666666666666666,-0.26666666666666666,-0.13333333333333333,0.03333333333333333,-0.4,-0.25,-0.13333333333333333,-0.11666666666666667,-0.13333333333333333,-0.13333333333333333,0.0,0.16666666666666666,0.0,0.0,0.13333333333333333,0.26666666666666666,0.26666666666666666,-0.3,-0.13333333333333333,-0.13333333333333333,0.0,0.0,0.0,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.4166666666666667,0.7,-0.16666666666666666,-0.15,-0.0,-0.0,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.25,0.55,0.1,0.13333333333333333,0.26666666666666666,0.26666666666666666,0.4166666666666667,0.55,0.4,0.4166666666666667,0.4,0.5,0.7,0.7,0.6666666666666666,0.7,0.9,0.85,1.0,1.0
[7. 4. 3. 0. 0.],0.2,0.0,-0.2,-0.1,-0.3,-0.16666666666666666,-0.5,-0.3,0.05,-0.1,0.05,-0.25,-0.4,-0.13333333333333333,-0.4,-0.4,-0.13333333333333333,-0.26666666666666666,-0.26666666666666666,0.2,0.05,-0.1,0.16666666666666666,-0.25,0.016666666666666666,-0.13333333333333333,-0.13333333333333333,-0.4,-0.13333333333333333,0.0,-0.13333333333333333,0.13333333333333333,0.0,-0.15,0.15,0.0,-0.4,-0.13333333333333333,0.0,-0.26666666666666666,-0.0,-0.0,0.2,-0.2,0.1,-0.3,-0.03333333333333333,0.13333333333333333,-0.26666666666666666,-0.0,-0.13333333333333333,0.1,-0.2,0.1,-0.03333333333333333,0.26666666666666666,-0.0,0.1,-0.2,0.1,0.4,0.26666666666666666,0.3,0.1,0.4,0.6,0.4,0.7,0.7,1.0
[7. 5. 1. 1. 0.],-1.0,-1.0,-0.6,-1.0,-0.6,0.0,-0.2,0.0,-1.0,-0.7,-0.15,-0.7,-0.36666666666666664,-0.15,0.15,-0.5333333333333333,-0.3,0.0,0.4,-1.0,-0.7,-0.4,-0.25,-0.4,-0.25,0.016666666666666666,0.36666666666666664,-0.3,-0.13333333333333333,0.26666666666666666,0.0,0.13333333333333333,-0.8,-0.5666666666666667,-0.4,-0.13333333333333333,-0.3,-0.13333333333333333,0.26666666666666666,0.0,0.13333333333333333,0.2833333333333333,0.7,-0.6,-0.5,-0.4,-0.26666666666666666,0.13333333333333333,-0.0,0.13333333333333333,0.2833333333333333,0.55,-0.4,-0.26666666666666666,-0.0,0.13333333333333333,0.4,0.7,-0.2,-0.0,0.13333333333333333,0.4,0.7,0.3,0.4,0.7,0.7333333333333333,0.7,1.0,1.0
[7. 5. 2. 0. 0.],-0.8,-0.6,-0.6,-0.4,-0.4,-0.2,-0.2,0.0,-0.55,-0.5,-0.35,-0.35,-0.3,-0.16666666666666666,-0.03333333333333333,-0.3,-0.16666666666666666,-0.16666666666666666,0.13333333333333333,-0.4,-0.4,-0.4,-0.25,-0.25,-0.1,-0.13333333333333333,0.13333333333333333,-0.25,-0.13333333333333333,0.0,-0.13333333333333333,0.0,-0.45,-0.4,-0.2833333333333333,-0.26666666666666666,-0.25,-0.13333333333333333,0.0,-0.13333333333333333,0.0,-0.0,0.2,-0.4,-0.3,-0.4,-0.26666666666666666,-0.13333333333333333,-0.13333333333333333,-0.0,-0.0,0.1,-0.3,-0.16666666666666666,-0.13333333333333333,-0.0,0.13333333333333333,0.3,-0.2,-0.03333333333333333,0.13333333333333333,0.13333333333333333,0.4,0.1,0.26666666666666666,0.4,0.4,0.6,0.7,1.0
[7. 6. 1. 0. 0.],-1.0,-1.0,-0.8,-1.0,-0.8,-0.2,-0.6,-0.2,-1.0,-0.8,-0.2,-0.8,-0.6,-0.2,0.0,-0.6,-0.2,0.0,0.4,-1.0,-0.85,-0.7,-0.35,-0.7,-0.35,-0.16666666666666666,0.26666666666666666,-0.55,-0.16666666666666666,0.26666666666666666,-0.16666666666666666,0.13333333333333333,-0.9,-0.8,-0.55,-0.4166666666666667,-0.7,-0.4166666666666667,0.0,-0.2833333333333333,0.0,0.0,0.2,-0.8,-0.6,-0.7,-0.5,-0.13333333333333333,-0.4,-0.13333333333333333,-0.0,0.3,-0.7,-0.5,-0.4,-0.13333333333333333,-0.0,0.4,-0.6,-0.4,-0.13333333333333333,-0.0,0.4,-0.3,-0.0,0.4,0.13333333333333333,0.4,0.6,1.0
[7. 7. 0. 0. 0.],-1.0,-1.0,-1.0,-1.0,-1.0,-0.4,-1.0,-0.4,-1.0,-1.0,-0.4,-1.0,-1.0,-0.4,-0.4,-1.0,-0.4,-0.4,0.2,-1.0,-1.0,-1.0,-0.4,-1.0,-0.4,-0.4,0.2,-1.0,-0.4,0.2,-0.4,0.2,-1.0,-1.0,-0.7,-0.7,-1.0,-0.7,-0.2,-0.7,-0.2,-0.2,0.0,-1.0,-0.7,-1.0,-0.7,-0.4,-0.7,-0.4,-0.4,-0.0,-1.0,-0.7,-0.7,-0.4,-0.4,-0.0,-1.0,-0.7,-0.4,-0.4,-0.0,-0.7,-0.4,-0.0,-0.4,-0.0,-0.0,0.6
[8. 2. 2. 1. 1.],-1.0,-1.0,-1.0,-1.0,-0.9,-1.0,-0.4,-0.7,-1.0,-0.9,-1.0,-0.7333333333333333,-0.4,-0.7,-0.1,-0.13333333333333333,-0.4,-0.1,0.2,-1.0,-0.7333333333333333,-0.4,-0.7,-0.13333333333333333,-0.4,-0.1,0.2,0.4,0.16666666666666666,0.2,0.6,0.4,-0.5,-0.13333333333333333,-0.4,-0.1,0.4,0.16666666666666666,0.2,0.6,0.4,0.8,1.0,0.0,-0.3,0.3,-0.0,-0.0,0.5666666666666667,0.3,0.8,1.0,0.5,0.13333333333333333,0.4,0.1,0.7,1.0,1.0,0.7333333333333333,0.4,0.7,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0
[8. 2. 2. 2. 0.],-1.0,-1.0,-1.0,-0.9,-0.7,-1.0,-0.4,-0.7,-0.9,-0.7,-1.0,-0.4,-0.4,-0.7,-0.25,0.0,-0.3,-0.25,-0.1,-0.6,-0.4,-0.4,-0.7,0.0,-0.3,-0.25,-0.1,0.4,0.15,-0.1,0.5,0.3,0.0,0.0,-0.3,-0.25,0.4,0.15,-0.1,0.5,0.3,0.6,0.7,0.3,0.0,0.25,-0.0,-0.3,0.4,0.15,0.55,0.7,0.55,0.3,0.25,-0.05,0.4,0.55,1.0,0.7,0.5,0.4,0.55,1.0,0.85,0.55,1.0,1.0,1.0,1.0
[8. 3. 1. 1. 1.],-1.0,-1.0,-1.0,-1.0,-0.85,-0.7,-0.7,-0.7,-1.0,-0.85,-0.55,-0.7,-0.6,-0.55,-0.25,-0.4,-0.4,-0.1,0.2,-1.0,-0.7,-0.5,-0.4,-0.4,-0.4,-0.1,0.2,0.0,0.0,0.3,0.4,0.4,-0.55,-0.3,-0.25,0.05,0.0,0.0,0.3,0.4,0.4,0.7,1.0,-0.3,-0.25,0.0,-0.0,0.3,0.3,0.25,0.7,1.0,-0.0,-0.0,0.3,0.25,0.55,1.0,0.6,0.4,0.4,0.7,1.0,0.9,0.7,1.0,1.0,1.0,1.0,1.0
[8. 3. 2. 1. 0.],-1.0,-0.9,-0.85,-0.7,-0.7333333333333333,-0.8,-0.6,-0.65,-0.7,-0.6666666666666666,-0.7,-0.5,-0.5,-0.5333333333333333,-0.4,-0.26666666666666666,-0.26666666666666666,-0.26666666666666666,-0.1,-0.4,-0.4166666666666667,-0.4,-0.4166666666666667,-0.26666666666666666,-0.26666666666666666,-0.26666666666666666,-0.1,0.0,0.0,0.03333333333333333,0.26666666666666666,0.26666666666666666,-0.1,-0.13333333333333333,-0.13333333333333333,-0.13333333333333333,0.0,0.0,0.03333333333333333,0.26666666666666666,0.26666666666666666,0.5,0.7,0.0,0.0,0.0,0.0,-0.0,0.13333333333333333,0.13333333333333333,0.4166666666666667,0.7,0.1,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.25,0.55,0.4,0.4166666666666667,0.4,0.4166666666666667,0.55,0.7,0.6666666666666666,0.7,0.9,0.85,1.0,1.0
[8. 3. 3. 0. 0.],-0.6,-0.4,-0.7,-0.4,-0.6,-0.7333333333333333,-0.8,-0.6,-0.1,-0.4,-0.5,-0.4,-0.6,-0.4,-0.6,-0.4,-0.13333333333333333,-0.4,-0.4,0.2,-0.1,-0.4,-0.13333333333333333,-0.4,-0.13333333333333333,-0.4,-0.4,-0.4,-0.13333333333333333,-0.13333333333333333,-0.13333333333333333,0.13333333333333333,0.2,-0.1,0.16666666666666666,-0.13333333333333333,-0.4,-0.13333333333333333,-0.13333333333333333,-0.13333333333333333,0.13333333333333333,0.13333333333333333,0.4,0.0,0.3,-0.3,0.0,0.0,-0.26666666666666666,-0.0,-0.0,0.3,-0.2,0.1,-0.16666666666666666,0.13333333333333333,-0.13333333333333333,0.1,-0.2,0.1,0.4,0.13333333333333333,0.1,0.1,0.4,0.5,0.4,0.7,0.7,1.0
[8. 4. 1. 1. 0.],-1.0,-1.0,-0.7,-1.0,-0.8,-0.3,-0.7,-0.45,-1.0,-0.7,-0.25,-0.8,-0.5666666666666667,-0.4,-0.2833333333333333,-0.6,-0.5,-0.26666666666666666,0.03333333333333333,-1.0,-0.7,-0.4,-0.25,-0.5666666666666667,-0.4,-0.13333333333333333,0.16666666666666666,-0.4,-0.26666666666666666,0.13333333333333333,0.0,0.13333333333333333,-0.7,-0.4,-0.25,0.016666666666666666,-0.3,-0.13333333333333333,0.26666666666666666,0.0,0.13333333333333333,0.4,0.7,-0.5666666666666667,-0.4,-0.3,-0.13333333333333333,0.26666666666666666,0.0,0.13333333333333333,0.2833333333333333,0.7,-0.4,-0.26666666666666666,-0.0,0.13333333333333333,0.2833333333333333,0.55,-0.2,-0.0,0.13333333333333333,0.4,0.7,0.3,0.4,0.7,0.7333333333333333,0.7,1.0,1.0
[8. 4. 2. 0. 0.],-0.8,-0.7,-0.65,-0.7,-0.6,-0.5,-0.5,-0.5,-0.55,-0.55,-0.4,-0.55,-0.5,-0.4166666666666667,-0.4,-0.5,-0.4,-0.36666666666666664,-0.26666666666666666,-0.4,-0.4,-0.4,-0.25,-0.4,-0.2833333333333333,-0.26666666666666666,-0.13333333333333333,-0.4,-0.26666666666666666,-0.13333333333333333,-0.13333333333333333,0.0,-0.25,-0.25,-0.1,-0.13333333333333333,-0.25,-0.13333333333333333,0.0,-0.13333333333333333,0.0,0.13333333333333333,0.4,-0.3,-0.15,-0.25,-0.13333333333333333,0.0,-0.13333333333333333,0.0,-0.0,0.3,-0.3,-0.16666666666666666,-0.13333333333333333,-0.0,-0.0,0.1,-0.2,-0.03333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.1,0.26666666666666666,0.4,0.4,0.6,0.7,1.0
[8. 5. 1. 0. 0.],-1.0,-1.0,-0.8,-1.0,-0.8,-0.2,-0.6,-0.2,-1.0,-0.85,-0.35,-0.85,-0.7,-0.35,-0.16666666666666666,-0.8,-0.5,-0.3333333333333333,0.13333333333333333,-1.0,-0.85,-0.7,-0.4,-0.7,-0.4,-0.25,0.13333333333333333,-0.7,-0.4166666666666667,0.0,-0.4,-0.13333333333333333,-0.85,-0.7,-0.4,-0.25,-0.55,-0.25,0.13333333333333333,-0.2833333333333333,0.0,0.0,0.4,-0.8,-0.55,-0.7,-0.4166666666666667,0.0,-0.2833333333333333,0.0,0.0,0.3,-0.7,-0.5,-0.4,-0.13333333333333333,-0.0,0.3,-0.6,-0.4,-0.13333333333333333,-0.0,0.4,-0.3,-0.0,0.4,0.13333333333333333,0.4,0.6,1.0
[8. 6. 0. 0. 0.],-1.0,-1.0,-1.0,-1.0,-1.0,-0.4,-1.0,-0.4,-1.0,-1.0,-0.4,-1.0,-1.0,-0.4,-0.4,-1.0,-0.4,-0.4,0.2,-1.0,-1.0,-1.0,-0.55,-1.0,-0.55,-0.55,0.0,-1.0,-0.55,0.0,-0.7,-0.2,-1.0,-1.0,-0.55,-0.55,-1.0,-0.55,-0.1,-0.55,-0.1,-0.3,0.0,-1.0,-0.7,-1.0,-0.7,-0.3,-0.7,-0.3,-0.3,0.0,-1.0,-0.7,-0.7,-0.4,-0.4,-0.0,-1.0,-0.7,-0.4,-0.4,-0.0,-0.7,-0.4,-0.0,-0.4,-0.0,-0.0,0.6
[9. 2. 1. 1. 1.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7,-0.85,-1.0,-1.0,-1.0,-1.0,-0.7,-0.85,-0.25,-0.6,-0.7,-0.25,0.2,-1.0,-1.0,-0.7,-0.85,-0.6,-0.7,-0.25,0.2,0.0,-0.1,0.2,0.4,0.3,-1.0,-0.6,-0.7,-0.25,0.0,-0.1,0.2,0.4,0.3,0.7,1.0,-0.5,-0.55,0.0,-0.1,0.2,0.4,0.3,0.7,1.0,0.0,-0.15,0.3,0.15,0.7,1.0,0.6,0.3,0.1,0.55,1.0,0.9,0.7,1.0,1.0,1.0,1.0,1.0
[9. 2. 2. 1. 0.],-1.0,-1.0,-1.0,-1.0,-0.9,-1.0,-0.6,-0.8,-1.0,-0.9,-1.0,-0.7666666666666667,-0.6,-0.8,-0.4,-0.4,-0.5666666666666667,-0.4,-0.1,-1.0,-0.7666666666666667,-0.6,-0.8,-0.4,-0.5666666666666667,-0.4,-0.1,0.0,-0.13333333333333333,-0.1,0.26666666666666666,0.16666666666666666,-0.6,-0.4,-0.5666666666666667,-0.4,0.0,-0.13333333333333333,-0.1,0.26666666666666666,0.16666666666666666,0.5,0.7,-0.13333333333333333,-0.3,0.0,-0.13333333333333333,-0.1,0.26666666666666666,0.16666666666666666,0.5,0.7,0.15,0.0,0.13333333333333333,-0.0,0.4166666666666667,0.7,0.4,0.2833333333333333,0.13333333333333333,0.25,0.55,0.7,0.5833333333333334,0.55,0.9,0.85,1.0,1.0
[9. 3. 1. 1. 0.],-1.0,-1.0,-1.0,-1.0,-0.9,-0.8,-0.8,-0.75,-1.0,-0.9,-0.7,-0.8,-0.7666666666666667,-0.65,-0.55,-0.6,-0.5,-0.4166666666666667,-0.1,-1.0,-0.8,-0.7333333333333333,-0.55,-0.6,-0.5,-0.4166666666666667,-0.1,-0.4,-0.26666666666666666,0.03333333333333333,0.0,0.13333333333333333,-0.7,-0.5666666666666667,-0.4,-0.2833333333333333,-0.4,-0.26666666666666666,0.03333333333333333,0.0,0.13333333333333333,0.4,0.7,-0.4,-0.25,-0.3,-0.13333333333333333,0.16666666666666666,0.0,0.13333333333333333,0.4,0.7,-0.3,-0.13333333333333333,0.0,0.13333333333333333,0.2833333333333333,0.7,-0.2,-0.0,0.13333333333333333,0.2833333333333333,0.55,0.3,0.4,0.7,0.7333333333333333,0.7,1.0,1.0
[9. 3. 2. 0. 0.],-1.0,-0.9,-0.85,-0.7,-0.8,-0.9,-0.8,-0.75,-0.7,-0.75,-0.85,-0.6,-0.7,-0.6666666666666666,-0.6,-0.5,-0.4,-0.5,-0.4,-0.4,-0.55,-0.6,-0.5833333333333334,-0.5,-0.4,-0.5,-0.4,-0.4,-0.26666666666666666,-0.26666666666666666,-0.13333333333333333,0.0,-0.25,-0.4,-0.2833333333333333,-0.4,-0.4,-0.26666666666666666,-0.26666666666666666,-0.13333333333333333,0.0,0.13333333333333333,0.4,-0.1,0.05,-0.25,-0.13333333333333333,-0.13333333333333333,-0.13333333333333333,0.0,0.13333333333333333,0.4,-0.15,0.0,-0.13333333333333333,0.0,-0.0,0.3,-0.2,-0.03333333333333333,0.13333333333333333,-0.0,0.1,0.1,0.26666666666666666,0.3,0.4,0.6,0.7,1.0
[9. 4. 1. 0. 0.],-1.0,-1.0,-0.85,-1.0,-0.9,-0.5,-0.9,-0.65,-1.0,-0.85,-0.4,-0.9,-0.8,-0.55,-0.5833333333333334,-0.8,-0.6,-0.5,-0.26666666666666666,-1.0,-0.85,-0.7,-0.4,-0.8,-0.55,-0.4166666666666667,-0.13333333333333333,-0.7,-0.5,-0.13333333333333333,-0.4,-0.13333333333333333,-0.85,-0.7,-0.4,-0.25,-0.7,-0.4166666666666667,0.0,-0.4,-0.13333333333333333,0.0,0.4,-0.7,-0.4,-0.55,-0.25,0.13333333333333333,-0.2833333333333333,0.0,0.0,0.4,-0.7,-0.4166666666666667,-0.2833333333333333,0.0,0.0,0.3,-0.6,-0.4,-0.13333333333333333,-0.0,0.3,-0.3,-0.0,0.4,0.13333333333333333,0.4,0.6,1.0
[9. 5. 0. 0. 0.],-1.0,-1.0,-1.0,-1.0,-1.0,-0.4,-1.0,-0.4,-1.0,-1.0,-0.55,-1.0,-1.0,-0.55,-0.55,-1.0,-0.7,-0.7,-0.2,-1.0,-1.0,-1.0,-0.55,-1.0,-0.55,-0.55,-0.1,-1.0,-0.7,-0.3,-0.7,-0.4,-1.0,-1.0,-0.55,-0.55,-1.0,-0.55,-0.1,-0.7,-0.3,-0.4,0.0,-1.0,-0.55,-1.0,-0.55,-0.1,-0.55,-0.1,-0.3,0.0,-1.0,-0.7,-0.7,-0.3,-0.3,0.0,-1.0,-0.7,-0.4,-0.4,-0.0,-0.7,-0.4,-0.0,-0.4,-0.0,-0.0,0.6
[10.  1.  1.  1.  1.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.4,-1.0,-1.0,-0.4,0.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.4,0.2,-0.6,-0.4,0.2,0.2,0.2,-1.0,-1.0,-1.0,-0.4,-0.6,-0.4,0.2,0.2,0.2,0.6,1.0,-1.0,-1.0,-0.6,-0.4,0.2,0.2,0.2,0.6,1.0,-0.6,-0.4,0.2,0.2,0.6,1.0,0.0,-0.0,-0.0,0.6,1.0,0.6,0.4,1.0,1.0,1.0,1.0,1.0
[10.  2.  1.  1.  0.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.8,-0.9,-1.0,-1.0,-1.0,-1.0,-0.8,-0.9,-0.55,-0.7666666666666667,-0.8,-0.55,-0.1,-1.0,-1.0,-0.8,-0.9,-0.7666666666666667,-0.8,-0.55,-0.1,-0.4,-0.4166666666666667,-0.1,0.0,0.03333333333333333,-1.0,-0.7666666666666667,-0.8,-0.55,-0.4,-0.4166666666666667,-0.1,0.0,0.03333333333333333,0.4,0.7,-0.7333333333333333,-0.7,-0.4,-0.4166666666666667,-0.1,0.0,0.03333333333333333,0.4,0.7,-0.3,-0.2833333333333333,0.0,0.03333333333333333,0.4,0.7,0.0,0.0,-0.0,0.2833333333333333,0.7,0.3,0.2833333333333333,0.55,0.7333333333333333,0.7,1.0,1.0
[10.  2.  2.  0.  0.],-1.0,-1.0,-1.0,-1.0,-0.9,-1.0,-0.8,-0.9,-1.0,-0.9,-1.0,-0.8,-0.8,-0.9,-0.6,-0.6,-0.7333333333333333,-0.6,-0.4,-1.0,-0.8,-0.8,-0.9,-0.6,-0.7333333333333333,-0.6,-0.4,-0.4,-0.4,-0.4,-0.13333333333333333,-0.13333333333333333,-0.7,-0.6,-0.7333333333333333,-0.6,-0.4,-0.4,-0.4,-0.13333333333333333,-0.13333333333333333,0.13333333333333333,0.4,-0.4,-0.5,-0.4,-0.4,-0.4,-0.13333333333333333,-0.13333333333333333,0.13333333333333333,0.4,-0.1,-0.13333333333333333,-0.13333333333333333,-0.13333333333333333,0.13333333333333333,0.4,0.0,0.0,0.0,-0.0,0.3,0.1,0.13333333333333333,0.1,0.4,0.5,0.7,1.0
[10.  3.  1.  0.  0.],-1.0,-1.0,-1.0,-1.0,-0.95,-0.9,-0.9,-0.8,-1.0,-0.95,-0.85,-0.9,-0.9,-0.75,-0.75,-0.8,-0.6,-0.6666666666666666,-0.4,-1.0,-0.9,-0.9,-0.7,-0.8,-0.6,-0.6666666666666666,-0.4,-0.7,-0.5,-0.26666666666666666,-0.4,-0.13333333333333333,-0.85,-0.8,-0.55,-0.5833333333333334,-0.7,-0.5,-0.26666666666666666,-0.4,-0.13333333333333333,0.0,0.4,-0.7,-0.4,-0.7,-0.4166666666666667,-0.13333333333333333,-0.4,-0.13333333333333333,0.0,0.4,-0.55,-0.25,-0.2833333333333333,0.0,0.0,0.4,-0.6,-0.2833333333333333,0.0,0.0,0.3,-0.3,-0.0,0.3,0.13333333333333333,0.4,0.6,1.0
