,[7. 6. 6. 6.],[7. 7. 6. 5.],[7. 7. 7. 4.],[8. 6. 6. 5.],[8. 7. 5. 5.],[8. 7. 6. 4.],[8. 7. 7. 3.],[8. 8. 5. 4.],[8. 8. 6. 3.],[8. 8. 7. 2.],[8. 8. 8. 1.],[9. 6. 5. 5.],[9. 6. 6. 4.],[9. 7. 5. 4.],[9. 7. 6. 3.],[9. 7. 7. 2.],[9. 8. 4. 4.],[9. 8. 5. 3.],[9. 8. 6. 2.],[9. 8. 7. 1.],[9. 8. 8. 0.],[9. 9. 4. 3.],[9. 9. 5. 2.],[9. 9. 6. 1.],[9. 9. 7. 0.],[10.  5.  5.  5.],[10.  6.  5.  4.],[10.  6.  6.  3.],[10.  7.  4.  4.],[10.  7.  5.  3.],[10.  7.  6.  2.],[10.  7.  7.  1.],[10.  8.  4.  3.],[10.  8.  5.  2.],[10.  8.  6.  1.],[10.  8.  7.  0.],[10.  9.  3.  3.],[10.  9.  4.  2.],[10.  9.  5.  1.],[10.  9.  6.  0.],[10. 10.  3.  2.],[10. 10.  4.  1.],[10. 10.  5.  0.],[11.  5.  5.  4.],[11.  6.  4.  4.],[11.  6.  5.  3.],[11.  6.  6.  2.],[11.  7.  4.  3.],[11.  7.  5.  2.],[11.  7.  6.  1.],[11.  7.  7.  0.],[11.  8.  3.  3.],[11.  8.  4.  2.],[11.  8.  5.  1.],[11.  8.  6.  0.],[11.  9.  3.  2.],[11.  9.  4.  1.],[11.  9.  5.  0.],[11. 10.  2.  2.],[11. 10.  3.  1.],[11. 10.  4.  0.],[11. 11.  2.  1.],[11. 11.  3.  0.],[12.  5.  4.  4.],[12.  5.  5.  3.],[12.  6.  4.  3.],[12.  6.  5.  2.],[12.  6.  6.  1.],[12.  7.  3.  3.],[12.  7.  4.  2.],[12.  7.  5.  1.],[12.  7.  6.  0.],[12.  8.  3.  2.],[12.  8.  4.  1.],[12.  8.  5.  0.],[12.  9.  2.  2.],[12.  9.  3.  1.],[12.  9.  4.  0.],[12. 10.  2.  1.],[12. 10.  3.  0.],[12. 11.  1.  1.],[12. 11.  2.  0.],[12. 12.  1.  0.],[13.  4.  4.  4.],[13.  5.  4.  3.],[13.  5.  5.  2.],[13.  6.  3.  3.],[13.  6.  4.  2.],[13.  6.  5.  1.],[13.  6.  6.  0.],[13.  7.  3.  2.],[13.  7.  4.  1.],[13.  7.  5.  0.],[13.  8.  2.  2.],[13.  8.  3.  1.],[13.  8.  4.  0.],[13.  9.  2.  1.],[13.  9.  3.  0.],[13. 10.  1.  1.],[13. 10.  2.  0.],[13. 11.  1.  0.],[13. 12.  0.  0.],[14.  4.  4.  3.],[14.  5.  3.  3.],[14.  5.  4.  2.],[14.  5.  5.  1.],[14.  6.  3.  2.],[14.  6.  4.  1.],[14.  6.  5.  0.],[14.  7.  2.  2.],[14.  7.  3.  1.],[14.  7.  4.  0.],[14.  8.  2.  1.],[14.  8.  3.  0.],[14.  9.  1.  1.],[14.  9.  2.  0.],[14. 10.  1.  0.],[14. 11.  0.  0.],[15.  4.  3.  3.],[15.  4.  4.  2.],[15.  5.  3.  2.],[15.  5.  4.  1.],[15.  5.  5.  0.],[15.  6.  2.  2.],[15.  6.  3.  1.],[15.  6.  4.  0.],[15.  7.  2.  1.],[15.  7.  3.  0.],[15.  8.  1.  1.],[15.  8.  2.  0.],[15.  9.  1.  0.],[15. 10.  0.  0.],[16.  3.  3.  3.],[16.  4.  3.  2.],[16.  4.  4.  1.],[16.  5.  2.  2.],[16.  5.  3.  1.],[16.  5.  4.  0.],[16.  6.  2.  1.],[16.  6.  3.  0.],[16.  7.  1.  1.],[16.  7.  2.  0.],[16.  8.  1.  0.],[16.  9.  0.  0.],[17.  3.  3.  2.],[17.  4.  2.  2.],[17.  4.  3.  1.],[17.  4.  4.  0.],[17.  5.  2.  1.],[17.  5.  3.  0.],[17.  6.  1.  1.],[17.  6.  2.  0.],[17.  7.  1.  0.],[17.  8.  0.  0.],[18.  3.  2.  2.],[18.  3.  3.  1.],[18.  4.  2.  1.],[18.  4.  3.  0.],[18.  5.  1.  1.],[18.  5.  2.  0.],[18.  6.  1.  0.],[18.  7.  0.  0.],[19.  2.  2.  2.],[19.  3.  2.  1.],[19.  3.  3.  0.],[19.  4.  1.  1.],[19.  4.  2.  0.],[19.  5.  1.  0.],[19.  6.  0.  0.],[20.  2.  2.  1.],[20.  3.  1.  1.],[20.  3.  2.  0.],[20.  4.  1.  0.],[20.  5.  0.  0.],[21.  2.  1.  1.],[21.  2.  2.  0.],[21.  3.  1.  0.],[21.  4.  0.  0.],[22.  1.  1.  1.],[22.  2.  1.  0.],[22.  3.  0.  0.],[23.  1.  1.  0.],[23.  2.  0.  0.],[24.  1.  0.  0.],[25.  0.  0.  0.]
[7. 6. 6. 6.],0.0,-0.25,-1.0,0.5,0.25,-0.5,-1.0,-0.0,-0.75,-1.0,-1.0,1.0,0.5,0.25,-0.5,-1.0,-0.0,-0.0,-0.75,-1.0,-1.0,-0.0,-0.0,-0.75,-1.0,1.0,1.0,0.5,0.25,0.25,-0.5,-1.0,-0.0,-0.0,-0.75,-1.0,-0.0,-0.0,-0.0,-0.75,-0.0,-0.0,-0.0,1.0,1.0,1.0,0.5,0.25,0.25,-0.5,-1.0,-0.0,-0.0,-0.0,-0.75,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,1.0,0.5,0.25,0.25,0.25,-0.5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25,0.25,0.25,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,-0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,-0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[7. 7. 6. 5.],0.25,0.0,-0.5,0.16666666666666666,-0.0,-0.16666666666666666,-0.8333333333333334,-0.25,-0.5,-1.0,-1.0,0.5833333333333334,0.3333333333333333,0.25,-0.16666666666666666,-0.8333333333333334,-0.0,-0.25,-0.5,-1.0,-1.0,-0.0,-0.25,-0.5,-1.0,1.0,0.6666666666666666,0.3333333333333333,0.5,0.25,-0.16666666666666666,-0.8333333333333334,-0.0,-0.25,-0.5,-1.0,-0.0,-0.0,-0.25,-0.5,-0.0,-0.0,-0.25,1.0,0.75,0.6666666666666666,0.3333333333333333,0.5,0.25,-0.16666666666666666,-0.8333333333333334,-0.0,-0.0,-0.25,-0.5,-0.0,-0.0,-0.25,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,1.0,0.75,0.6666666666666666,0.3333333333333333,0.5,0.5,0.25,-0.16666666666666666,-0.0,-0.0,-0.25,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,0.75,0.75,0.6666666666666666,0.3333333333333333,0.5,0.5,0.25,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,1.0,0.75,0.75,0.6666666666666666,0.5,0.5,0.5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,0.5,0.5,-0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.5,0.5,-0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.5,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[7. 7. 7. 4.],1.0,0.5,0.0,0.25,-0.25,-0.0,-0.5,-0.5,-0.25,-1.0,-1.0,0.25,0.5,-0.0,0.25,-0.5,-0.5,-0.25,-0.25,-1.0,-1.0,-0.25,-0.25,-0.25,-1.0,0.25,0.5,0.5,0.25,0.25,0.25,-0.5,-0.25,-0.25,-0.25,-1.0,-0.0,-0.25,-0.25,-0.25,-0.0,-0.25,-0.25,0.5,0.75,0.5,0.5,0.5,0.25,0.25,-0.5,-0.0,-0.25,-0.25,-0.25,-0.0,-0.25,-0.25,-0.0,-0.0,-0.25,-0.0,-0.0,0.75,0.5,0.75,0.5,0.5,0.75,0.5,0.25,0.25,-0.0,-0.25,-0.25,-0.0,-0.0,-0.25,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,0.75,0.5,0.75,0.75,0.5,0.5,0.75,0.5,0.25,-0.0,-0.0,-0.25,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,0.75,0.75,0.5,0.75,0.75,0.5,0.75,0.75,0.5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,1.0,0.75,0.75,0.5,0.75,0.75,0.75,0.75,0.75,-0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,-0.0,-0.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,0.75,0.75,-0.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,0.75,1.0,1.0,1.0,1.0,1.0,0.75,0.75,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[8. 6. 6. 5.],-0.5,-0.16666666666666666,-0.25,0.0,0.16666666666666666,-0.16666666666666666,-0.5,0.25,-0.4166666666666667,-0.75,-1.0,0.4166666666666667,-0.0,0.08333333333333333,-0.3333333333333333,-0.5,0.25,-0.0,-0.5833333333333334,-0.75,-1.0,-0.0,-0.25,-0.75,-0.75,1.0,0.5833333333333334,-0.0,0.25,0.08333333333333333,-0.3333333333333333,-0.5,0.25,-0.0,-0.5833333333333334,-0.75,-0.0,-0.0,-0.25,-0.75,-0.0,-0.0,-0.25,1.0,0.75,0.5833333333333334,-0.0,0.25,0.08333333333333333,-0.3333333333333333,-0.5,0.25,0.25,-0.0,-0.5833333333333334,-0.0,-0.0,-0.25,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,1.0,0.75,0.5833333333333334,-0.0,0.25,0.25,0.08333333333333333,-0.3333333333333333,0.25,0.25,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,0.75,0.75,0.5833333333333334,-0.0,0.25,0.25,0.08333333333333333,0.25,0.25,0.25,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,1.0,0.75,0.75,0.5833333333333334,0.25,0.25,0.25,0.25,0.25,-0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,0.25,0.25,0.25,0.25,-0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.25,0.25,0.25,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[8. 7. 5. 5.],-0.25,0.0,0.25,-0.16666666666666666,0.0,-0.0,-0.16666666666666666,-0.0,-0.3333333333333333,-0.5833333333333334,-1.0,-0.0,-0.0,0.16666666666666666,-0.16666666666666666,-0.3333333333333333,0.25,-0.25,-0.4166666666666667,-0.6666666666666666,-1.0,-0.0,-0.5,-0.5,-0.75,0.5,0.3333333333333333,-0.0,0.5,0.16666666666666666,-0.16666666666666666,-0.3333333333333333,0.25,-0.25,-0.4166666666666667,-0.6666666666666666,-0.0,-0.0,-0.5,-0.5,-0.0,-0.0,-0.5,0.8333333333333334,0.5,0.3333333333333333,-0.0,0.5,0.16666666666666666,-0.16666666666666666,-0.3333333333333333,0.25,0.25,-0.25,-0.4166666666666667,-0.0,-0.0,-0.5,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,0.8333333333333334,0.5,0.3333333333333333,-0.0,0.5,0.5,0.16666666666666666,-0.16666666666666666,0.25,0.25,-0.25,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,1.0,0.8333333333333334,0.5,0.5,0.3333333333333333,-0.0,0.5,0.5,0.16666666666666666,0.25,0.25,0.25,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,0.8333333333333334,0.5,0.5,0.3333333333333333,0.5,0.5,0.5,0.25,0.25,-0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.5,0.5,0.5,0.5,0.5,0.25,0.25,-0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.25,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[8. 7. 6. 4.],0.5,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,-0.5833333333333334,-1.0,0.08333333333333333,0.16666666666666666,-0.0,-0.0,-0.3333333333333333,-0.25,-0.08333333333333333,-0.3333333333333333,-0.6666666666666666,-1.0,-0.25,-0.25,-0.5,-0.75,0.25,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,-0.0,-0.3333333333333333,-0.0,-0.08333333333333333,-0.3333333333333333,-0.6666666666666666,-0.0,-0.25,-0.25,-0.5,-0.0,-0.25,-0.25,0.5,0.5833333333333334,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.16666666666666666,-0.0,-0.3333333333333333,0.25,-0.0,-0.08333333333333333,-0.3333333333333333,-0.0,-0.25,-0.25,-0.0,-0.0,-0.25,-0.0,-0.0,0.75,0.5,0.6666666666666666,0.4166666666666667,0.3333333333333333,0.5,0.3333333333333333,0.16666666666666666,-0.0,0.25,-0.0,-0.08333333333333333,-0.0,-0.0,-0.25,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,0.75,0.5,0.75,0.6666666666666666,0.4166666666666667,0.3333333333333333,0.5,0.3333333333333333,0.16666666666666666,0.25,0.25,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,0.75,0.75,0.5,0.75,0.6666666666666666,0.4166666666666667,0.5,0.5,0.3333333333333333,0.25,0.25,-0.0,-0.0,-0.0,-0.0,1.0,1.0,0.75,0.75,0.5,0.75,0.75,0.6666666666666666,0.5,0.5,0.25,0.25,-0.0,-0.0,1.0,1.0,1.0,0.75,0.75,0.75,0.75,0.75,0.5,0.5,0.25,-0.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,0.75,0.5,0.25,1.0,1.0,1.0,1.0,0.75,0.75,0.75,0.5,1.0,1.0,1.0,1.0,1.0,0.75,0.75,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[8. 7. 7. 3.],1.0,0.8333333333333334,0.5,0.5,0.16666666666666666,0.16666666666666666,0.0,-0.3333333333333333,-0.16666666666666666,-0.4166666666666667,-1.0,0.25,0.25,-0.08333333333333333,0.16666666666666666,-0.0,-0.4166666666666667,-0.3333333333333333,-0.08333333333333333,-0.5833333333333334,-1.0,-0.5,-0.25,-0.25,-0.75,0.25,0.25,0.5,-0.08333333333333333,0.16666666666666666,0.3333333333333333,-0.0,-0.3333333333333333,-0.08333333333333333,-0.08333333333333333,-0.5833333333333334,-0.5,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,0.25,0.25,0.5,0.5,0.16666666666666666,0.3333333333333333,0.3333333333333333,-0.0,-0.25,-0.08333333333333333,-0.08333333333333333,-0.08333333333333333,-0.25,-0.25,-0.25,-0.0,-0.25,-0.25,-0.0,-0.25,0.25,0.5,0.5,0.5,0.5,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.0,-0.08333333333333333,-0.08333333333333333,-0.0,-0.25,-0.25,-0.0,-0.25,-0.0,-0.0,-0.0,0.25,0.5,0.5,0.75,0.5,0.5,0.5,0.5833333333333334,0.3333333333333333,0.3333333333333333,0.25,-0.0,-0.08333333333333333,-0.0,-0.25,-0.0,-0.0,-0.0,-0.0,0.5,0.75,0.5,0.5,0.75,0.5,0.5,0.75,0.5833333333333334,0.3333333333333333,0.25,-0.0,-0.0,-0.0,-0.0,-0.0,0.75,0.5,0.75,0.5,0.5,0.75,0.75,0.5,0.75,0.5833333333333334,0.25,0.25,-0.0,-0.0,1.0,0.75,0.5,0.75,0.75,0.5,0.75,0.75,0.75,0.75,0.25,-0.0,1.0,0.75,0.75,0.5,0.75,0.75,0.75,0.75,0.75,0.25,1.0,1.0,0.75,0.75,0.75,0.75,0.75,0.75,1.0,1.0,1.0,0.75,0.75,0.75,0.75,1.0,1.0,1.0,0.75,0.75,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[8. 8. 5. 4.],0.0,0.25,0.5,-0.25,0.0,0.16666666666666666,0.3333333333333333,0.0,-0.0,-0.0,-0.5,-0.3333333333333333,-0.16666666666666666,-0.0,-0.0,-0.0,-0.0,-0.16666666666666666,-0.3333333333333333,-0.3333333333333333,-0.8333333333333334,-0.25,-0.5,-0.5,-0.5,-0.25,-0.0,-0.0,0.3333333333333333,0.16666666666666666,-0.0,-0.0,0.25,-0.16666666666666666,-0.3333333333333333,-0.3333333333333333,-0.0,-0.25,-0.5,-0.5,-0.0,-0.25,-0.5,0.16666666666666666,0.3333333333333333,0.16666666666666666,-0.0,0.4166666666666667,0.16666666666666666,-0.0,-0.0,0.5,0.25,-0.16666666666666666,-0.3333333333333333,-0.0,-0.25,-0.5,-0.0,-0.0,-0.25,-0.0,-0.0,0.5833333333333334,0.3333333333333333,0.4166666666666667,0.16666666666666666,-0.0,0.5,0.4166666666666667,0.16666666666666666,-0.0,0.5,0.25,-0.16666666666666666,-0.0,-0.0,-0.25,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,0.6666666666666666,0.3333333333333333,0.5,0.4166666666666667,0.16666666666666666,-0.0,0.5,0.4166666666666667,0.16666666666666666,0.5,0.5,0.25,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,0.75,0.6666666666666666,0.3333333333333333,0.5,0.4166666666666667,0.16666666666666666,0.5,0.5,0.4166666666666667,0.5,0.5,-0.0,-0.0,-0.0,-0.0,1.0,1.0,0.75,0.6666666666666666,0.3333333333333333,0.5,0.5,0.4166666666666667,0.5,0.5,0.5,0.5,-0.0,-0.0,1.0,1.0,1.0,0.75,0.75,0.6666666666666666,0.5,0.5,0.5,0.5,0.5,-0.0,1.0,1.0,1.0,1.0,0.75,0.75,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.75,0.75,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.75,0.5,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[8. 8. 6. 3.],0.75,0.5,0.25,0.4166666666666667,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.0,-0.0,-0.5,0.08333333333333333,-0.08333333333333333,-0.0,-0.0,-0.0,-0.3333333333333333,-0.16666666666666666,-0.16666666666666666,-0.3333333333333333,-0.8333333333333334,-0.5,-0.25,-0.5,-0.5,0.25,0.08333333333333333,0.16666666666666666,-0.0,0.16666666666666666,0.16666666666666666,-0.0,-0.16666666666666666,0.08333333333333333,-0.16666666666666666,-0.3333333333333333,-0.5,-0.25,-0.25,-0.5,-0.25,-0.25,-0.25,0.25,0.08333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.25,0.16666666666666666,-0.0,-0.0,0.08333333333333333,0.08333333333333333,-0.16666666666666666,-0.25,-0.25,-0.25,-0.0,-0.25,-0.25,-0.0,-0.25,0.25,0.5,0.3333333333333333,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.25,0.25,0.16666666666666666,0.25,0.08333333333333333,0.08333333333333333,-0.0,-0.25,-0.25,-0.0,-0.25,-0.0,-0.0,-0.0,0.25,0.5,0.5,0.5833333333333334,0.4166666666666667,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.25,0.25,0.5,0.25,0.08333333333333333,-0.0,-0.25,-0.0,-0.0,-0.0,-0.0,0.5,0.75,0.5,0.5,0.6666666666666666,0.4166666666666667,0.4166666666666667,0.5,0.4166666666666667,0.25,0.5,0.25,-0.0,-0.0,-0.0,-0.0,0.75,0.5,0.75,0.5,0.5,0.75,0.6666666666666666,0.4166666666666667,0.5,0.4166666666666667,0.5,0.5,-0.0,-0.0,1.0,0.75,0.5,0.75,0.75,0.5,0.75,0.6666666666666666,0.5,0.5,0.5,-0.0,1.0,0.75,0.75,0.5,0.75,0.75,0.75,0.75,0.5,0.5,1.0,1.0,0.75,0.75,0.75,0.75,0.75,0.5,1.0,1.0,1.0,0.75,0.75,0.75,0.75,1.0,1.0,1.0,0.75,0.75,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[8. 8. 7. 2.],1.0,1.0,1.0,0.75,0.5833333333333334,0.5833333333333334,0.4166666666666667,0.0,0.0,0.0,-0.5,0.25,0.25,0.08333333333333333,0.08333333333333333,0.16666666666666666,-0.3333333333333333,-0.3333333333333333,-0.16666666666666666,-0.16666666666666666,-0.8333333333333334,-0.5,-0.5,-0.25,-0.5,0.25,0.25,0.25,0.08333333333333333,0.08333333333333333,0.3333333333333333,0.3333333333333333,-0.3333333333333333,-0.16666666666666666,0.08333333333333333,-0.16666666666666666,-0.5,-0.5,-0.25,-0.25,-0.5,-0.25,-0.25,0.25,0.25,0.25,0.5,0.08333333333333333,0.3333333333333333,0.4166666666666667,0.3333333333333333,-0.3333333333333333,-0.16666666666666666,0.08333333333333333,0.08333333333333333,-0.5,-0.25,-0.25,-0.5,-0.25,-0.25,-0.25,-0.25,0.25,0.25,0.25,0.5,0.5,0.08333333333333333,0.3333333333333333,0.4166666666666667,0.4166666666666667,-0.16666666666666666,0.08333333333333333,0.08333333333333333,-0.5,-0.25,-0.25,-0.25,-0.25,-0.0,-0.25,-0.0,0.25,0.25,0.5,0.25,0.5,0.5,0.5,0.3333333333333333,0.4166666666666667,0.4166666666666667,-0.0,0.08333333333333333,0.08333333333333333,-0.25,-0.25,-0.0,-0.25,-0.0,-0.0,0.25,0.25,0.5,0.5,0.5,0.5,0.5,0.5833333333333334,0.4166666666666667,0.4166666666666667,0.25,0.08333333333333333,-0.0,-0.25,-0.0,-0.0,0.25,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0.6666666666666666,0.4166666666666667,0.5,0.25,-0.0,-0.0,0.25,0.5,0.5,0.75,0.5,0.5,0.75,0.5,0.75,0.6666666666666666,0.5,-0.0,0.5,0.75,0.5,0.5,0.75,0.5,0.75,0.75,0.75,0.5,0.75,0.5,0.75,0.5,0.75,0.75,0.75,0.75,1.0,0.75,0.5,0.75,0.75,0.75,0.75,1.0,0.75,0.75,0.75,0.75,1.0,1.0,0.75,0.75,1.0,1.0,0.75,1.0,1.0,1.0,1.0
[8. 8. 8. 1.],1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.25,0.25,0.25,0.25,0.25,-0.25,-0.25,-0.25,-0.0,-0.5,-0.5,-0.5,-0.5,-0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,-0.25,-0.25,-0.0,0.25,-0.5,-0.5,-0.5,-0.25,-0.5,-0.5,-0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.5,-0.25,-0.25,-0.0,0.25,-0.5,-0.5,-0.25,-0.5,-0.5,-0.25,-0.5,-0.25,0.25,0.25,0.25,0.25,0.5,0.25,0.25,0.5,0.5,-0.25,-0.0,0.25,-0.5,-0.5,-0.25,-0.5,-0.25,-0.5,-0.25,-0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.25,0.5,0.5,-0.25,-0.0,0.25,-0.5,-0.25,-0.5,-0.25,-0.25,-0.0,0.25,0.25,0.25,0.5,0.25,0.5,0.5,0.25,0.5,0.5,-0.0,0.25,-0.5,-0.25,-0.25,-0.0,0.25,0.25,0.25,0.5,0.5,0.25,0.5,0.5,0.5,0.5,0.25,0.25,-0.25,-0.0,0.25,0.25,0.5,0.25,0.5,0.5,0.5,0.5,0.75,0.5,0.5,-0.0,0.25,0.25,0.5,0.5,0.5,0.5,0.75,0.5,0.75,0.75,0.25,0.5,0.5,0.5,0.75,0.5,0.75,0.75,0.25,0.5,0.5,0.75,0.5,0.75,0.75,0.5,0.75,0.5,0.75,0.75,0.75,0.5,0.75,0.75,1.0,0.75,0.75,1.0,0.75,1.0,1.0
[9. 6. 5. 5.],-1.0,-0.5833333333333334,-0.25,-0.4166666666666667,0.0,-0.08333333333333333,-0.25,0.3333333333333333,-0.08333333333333333,-0.25,-0.25,0.0,-0.16666666666666666,0.16666666666666666,-0.3333333333333333,-0.5,0.5,0.16666666666666666,-0.3333333333333333,-0.5,-0.5,0.5,-0.0,-0.5833333333333334,-0.75,0.5,0.16666666666666666,-0.3333333333333333,0.25,-0.08333333333333333,-0.4166666666666667,-0.5,0.25,-0.08333333333333333,-0.4166666666666667,-0.5,0.25,0.25,-0.25,-0.6666666666666666,-0.0,-0.0,-0.5,0.8333333333333334,0.5,0.16666666666666666,-0.3333333333333333,0.25,-0.08333333333333333,-0.4166666666666667,-0.5,0.25,0.25,-0.08333333333333333,-0.4166666666666667,0.25,0.25,-0.25,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,0.8333333333333334,0.5,0.16666666666666666,-0.3333333333333333,0.25,0.25,-0.08333333333333333,-0.4166666666666667,0.25,0.25,-0.08333333333333333,0.25,0.25,0.25,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,1.0,0.8333333333333334,0.5,0.5,0.16666666666666666,-0.3333333333333333,0.25,0.25,-0.08333333333333333,0.25,0.25,0.25,0.25,0.25,-0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,0.8333333333333334,0.5,0.5,0.16666666666666666,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.0,-0.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.5,0.5,0.5,0.25,0.25,0.25,0.25,0.25,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.25,0.25,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
